WLS 10.150.132.224
SOA 10.150.132.225
OSB 10.150.132.226
OUD 10.150.132.227
BAT 10.150.132.228
WEBGATE 10.150.132.229
WEBGATE_HTTPS 10.150.132.229
OAM 10.150.132.231
CAP2 10.150.132.230
Docker 10.150.132.240
Docker-HTTPS 10.150.132.240
PORTALVENDEDOR 10.150.132.236
PORTALVENDEDOR_HTTPS 10.150.132.236
ADMIN 10.150.132.235
ADMIN_HTTPS 10.150.132.235
Docker-Registry 10.150.132.248
WLS-02 10.150.132.233
OSB-02 10.150.132.232
SILOCWEB 10.150.132.252
office-PRD 10.150.89.37
office-PRD_HTTPS 10.150.89.37
NOVO_PORTALVENDEDOR 10.150.89.38
NOVO_PORTALVENDEDOR-LOGIN 10.150.89.39
REDIS-TKSTORE 10.150.89.44
DFIN_FE 10.150.89.50
sintegra 10.150.89.51
callcenter 10.150.89.52
